2000	16659,796	Idrico
2000	626,5	Geotermoelettrico
2000	6,307	Fotovoltaico
2000	363,435	Eolico
2000	671,202	Bioenergie
2001	16752,547	Idrico
2001	573	Geotermoelettrico
2001	6,565	Fotovoltaico
2001	663,855	Eolico
2001	684,568	Bioenergie
2002	16846,31	Idrico
2002	707	Geotermoelettrico
2002	6,41	Fotovoltaico
2002	780,11	Eolico
2002	891,736	Bioenergie
2003	16995,5485	Idrico
2003	707	Geotermoelettrico
2003	7,042	Fotovoltaico
2003	873,64	Eolico
2003	1086,475	Bioenergie
2004	17084,2	Idrico
2004	681,0001	Geotermoelettrico
2004	7,124	Fotovoltaico
2004	1131,485	Eolico
2004	1191,869	Bioenergie
2005	17348,773	Idrico
2005	711	Geotermoelettrico
2005	7,124	Fotovoltaico
2005	1638,955	Eolico
2005	1194,85	Bioenergie
2006	17440,51	Idrico
2006	711	Geotermoelettrico
2006	7,17381	Fotovoltaico
2006	1908,287	Eolico
2006	1255,525	Bioenergie
2007	17458,614	Idrico
2007	711	Geotermoelettrico
2007	88,14027	Fotovoltaico
2007	2714,128	Eolico
2007	1336,882	Bioenergie
2008	17651,245	Idrico
2008	711	Geotermoelettrico
2008	431,9322	Fotovoltaico
2008	3537,578	Eolico
2008	1555,342	Bioenergie
2009	17750,035	Idrico
2009	737	Geotermoelettrico
2009	1142,19014	Fotovoltaico
2009	4897,938	Eolico
2009	2018,554	Bioenergie
2010	17903,71	Idrico
2010	772	Geotermoelettrico
2010	3469,885	Fotovoltaico
2010	5814,281	Eolico
2010	2351,545	Bioenergie
2011	18119,83891	Idrico
2011	772	Geotermoelettrico
2011	12773,374	Fotovoltaico
2011	6936,14619	Eolico
2011	2825,3295	Bioenergie
2012	18259,38741	Idrico
2012	772	Geotermoelettrico
2012	16419,861	Fotovoltaico
2012	8119,40131	Eolico
2012	3801,5725	Bioenergie
2013	18393,18122	Idrico
2013	772,99	Geotermoelettrico
2013	18185,465	Fotovoltaico
2013	8560,80791	Eolico
2013	4033,4215	Bioenergie
2014	18421,27242	Idrico
2014	820,99	Geotermoelettrico
2014	18594,377	Fotovoltaico
2014	8703,077	Eolico
2014	4043,6357	Bioenergie
2015	18542,61953	Idrico
2015	820,99	Geotermoelettrico
2015	18900,78995	Fotovoltaico
2015	9161,944	Eolico
2015	4056,5367	Bioenergie
2016	18640,79953	Idrico
2016	814,59	Geotermoelettrico
2016	19283,17269	Fotovoltaico
2016	9409,934	Eolico
2016	4124,0797	Bioenergie
2017	18862,92513	Idrico
2017	813,09	Geotermoelettrico
2017	19682,293	Fotovoltaico
2017	9765,856	Eolico
2017	4135,0337	Bioenergie
2018	18935,50703	Idrico
2018	813,09	Geotermoelettrico
2018	20107,588	Fotovoltaico
2018	10264,69	Eolico
2018	4180,3955	Bioenergie
2019	18982,33241	Idrico
2019	813,09	Geotermoelettrico
2019	20865,275	Fotovoltaico
2019	10714,754	Eolico
2019	4119,7405	Bioenergie
2020	19105,91042	Idrico
2020	817,09	Geotermoelettrico
2020	21650,035	Fotovoltaico
2020	10906,856	Eolico
2020	4105,9305	Bioenergie
2021	19172,26241	Idrico
2021	817,09	Geotermoelettrico
2021	22594,259	Fotovoltaico
2021	11289,805	Eolico
2021	4105,8495	Bioenergie
2022	19265,28943	Idrico
2022	817,09	Geotermoelettrico
2022	25063,919	Fotovoltaico
2022	11858,43	Eolico
2022	4049,4585	Bioenergie
2023	19274,1695	Idrico
2023	817,09	Geotermoelettrico
2023	30319,417	Fotovoltaico
2023	12335,543	Eolico
2023	4078,76	Bioenergie
